name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
California Youth Soccer Association North (Cal North),federation-state-youth,San Jose CA,https://www.calnorth.org/,info@calnorth.org,General Inbox,~120K youth players across Northern California; one of the largest state youth assocs in the US; WC2026 Bay Area host overlap,1040 Serpentine Lane Suite 201 Pleasanton CA 94566; CEO Mike Lance,+1 925 426 5437
California State Soccer Association South (Cal South),federation-state-youth,Fullerton CA,https://www.calsouth.com/,info@calsouth.com,General Inbox,~180K youth players across Southern California; largest single state youth assoc in the US; WC2026 LA host overlap; bilingual EN/ES,1029 N Allen Ave Pasadena CA 91104; CEO Eric Gomez,+1 714 778 2972
Eastern New York Youth Soccer Association,federation-state-youth,East Meadow NY,https://www.enysoccer.com/,office@enysoccer.com,General Inbox,Long Island + NYC borough + lower Hudson Valley youth pyramid; WC2026 NY/NJ host overlap inc the Final,3030 Hempstead Tpke East Meadow NY 11554,+1 516 766 0849
New York State West Youth Soccer Association,federation-state-youth,Rochester NY,https://www.nyswysa.org/,info@nyswysa.org,General Inbox,Western NY youth pyramid covering Rochester Buffalo Syracuse,4914 W Genesee St Camillus NY 13031,+1 315 451 1972
Eastern Pennsylvania Youth Soccer,federation-state-youth,King of Prussia PA,https://www.epysa.org/,info@epysa.org,General Inbox,~125K youth players in Eastern PA; WC2026 Philadelphia host overlap,4070 Butler Pike Suite 100 Plymouth Meeting PA 19462,+1 610 238 9966
Pennsylvania West Soccer Association,federation-state-youth,Pittsburgh PA,https://www.pawestsoccer.org/,info@pawestsoccer.org,General Inbox,Western PA youth pyramid centered on Pittsburgh,4 Walnut St Suite 300 Coraopolis PA 15108,+1 412 269 5527
Texas State Soccer Association South (South Texas Youth Soccer),federation-state-youth,Austin TX,https://www.stxsoccer.org/,info@stxsoccer.org,General Inbox,~100K youth players from South Texas inc Houston San Antonio Austin Valley; WC2026 Houston + Dallas host overlap; Mexico-jersey halo,1221 W Ben White Blvd Suite B-100 Austin TX 78704,+1 512 252 7773
North Texas Soccer Association,federation-state-youth,Garland TX,https://www.ntxsoccer.org/,info@ntxsoccer.org,General Inbox,Largest single state youth assoc by registration in TX with ~150K players; WC2026 Dallas host overlap,3220 Commander Dr Carrollton TX 75006,+1 972 235 4499
Florida Youth Soccer Association,federation-state-youth,Auburndale FL,https://www.fysa.com/,info@fysa.com,General Inbox,~200K youth players across all of Florida; WC2026 Miami host overlap; large Latino-heritage base,2390 US Highway 92 East Auburndale FL 33823; CEO Chris Pasquino,+1 863 268 8220
Illinois Youth Soccer Association,federation-state-youth,Crystal Lake IL,https://www.illinoisyouthsoccer.org/,info@illinoisyouthsoccer.org,General Inbox,~80K registered players in Illinois; WC2026 Chicago host overlap; bilingual outreach materials available,747 N Church Rd Suite J11 Elmhurst IL 60126,+1 630 942 3814
Michigan State Youth Soccer Association,federation-state-youth,Pontiac MI,https://www.michiganyouthsoccer.org/,info@michiganyouthsoccer.org,General Inbox,~80K youth players in MI; Detroit metro overlap with Detroit City FC supporters culture,9401 General Dr Suite 100 Plymouth MI 48170,+1 734 459 6650
Ohio Youth Soccer Association North,federation-state-youth,Cleveland OH,https://www.osysn.org/,info@osysn.org,General Inbox,Northern OH youth pyramid covering Cleveland Akron Toledo,5128 Mayfield Rd Suite 200 Lyndhurst OH 44124,+1 440 543 7707
Ohio South Youth Soccer Association,federation-state-youth,Cincinnati OH,https://www.osysa.org/,info@osysa.com,General Inbox,Southern OH youth pyramid covering Cincinnati Columbus Dayton,5200 Aero Dr West Chester OH 45069,+1 513 754 0001
Georgia Soccer (Georgia State Soccer Association),federation-state-youth,Atlanta GA,https://www.georgiasoccer.org/,info@georgiasoccer.org,General Inbox,~100K youth players in GA; WC2026 Atlanta host overlap with Atlanta United supporters base,3684 Stewart Rd Doraville GA 30340,+1 770 452 0505
North Carolina Youth Soccer Association,federation-state-youth,Greensboro NC,https://www.ncsoccer.org/,info@ncsoccer.org,General Inbox,~100K youth players in NC; one of the deepest youth pyramids in the South,5300 Stockard Dairy Rd Greensboro NC 27410,+1 336 856 7529
South Carolina Youth Soccer,federation-state-youth,Greenville SC,https://www.scysa.org/,info@scysa.org,General Inbox,SC youth pyramid feeding Charleston Battery + Greenville Triumph academies,720 Lowndes Hill Rd Greenville SC 29607,+1 864 297 7372
Virginia Youth Soccer Association,federation-state-youth,Fredericksburg VA,https://www.vysa.com/,vysa@vysa.com,General Inbox,~150K youth players in VA; WC2026 DC market overlap; one of the wealthiest youth markets in the US,1001 International Pkwy Fredericksburg VA 22406,+1 540 372 3041
Maryland State Youth Soccer Association,federation-state-youth,Columbia MD,https://www.msysa.org/,info@msysa.org,General Inbox,Maryland youth pyramid; WC2026 DC market overlap; strong NCAA D1 alumni network (Maryland Terps),9075 Guilford Rd Suite 200 Columbia MD 21046,+1 410 290 9117
Massachusetts Youth Soccer Association,federation-state-youth,Lancaster MA,https://www.mayouthsoccer.org/,info@mayouthsoccer.org,General Inbox,~110K youth players in MA; WC2026 Boston host overlap via Gillette Stadium,512 Old Union Tpke Lancaster MA 01523,+1 978 466 8812
Connecticut Junior Soccer Association,federation-state-youth,Norwich CT,https://www.cjsa.org/,info@cjsa.org,General Inbox,Connecticut youth pyramid; affluent NoHam corridor; Hartford Athletic feeder,10 Westside Dr Norwich CT 06360,+1 860 859 0001
New Jersey Youth Soccer,federation-state-youth,Iselin NJ,https://www.njyouthsoccer.com/,info@njyouthsoccer.com,General Inbox,~100K youth players in NJ; WC2026 NY/NJ host overlap inc the Final,569 Abbington Dr Suite 100 East Windsor NJ 08520,+1 609 490 0725
Washington Youth Soccer,federation-state-youth,Tukwila WA,https://www.washingtonyouthsoccer.org/,info@washingtonyouthsoccer.org,General Inbox,~115K youth players in WA; WC2026 Seattle host overlap with Sounders supporters base,7100 Fort Dent Way Suite 215 Tukwila WA 98188,+1 253 476 2237
Oregon Youth Soccer Association,federation-state-youth,Wilsonville OR,https://www.oregonyouthsoccer.org/,info@oregonyouthsoccer.org,General Inbox,Oregon youth pyramid; Timbers Army cultural overlap,8785 SW Beaverton-Hillsdale Hwy Portland OR 97225,+1 503 626 4625
Arizona Youth Soccer Association,federation-state-youth,Tempe AZ,https://www.azyouthsoccer.org/,info@azyouthsoccer.org,General Inbox,~30K youth players in AZ; Phoenix Rising overlap; Mexico-jersey halo during WC2026,5025 E Washington St Suite 109 Phoenix AZ 85034,+1 602 433 9202
Colorado Youth Soccer,federation-state-youth,Centennial CO,https://www.coloradosoccer.org/,info@coloradosoccer.org,General Inbox,~70K youth players in CO; Colorado Rapids supporters overlap,8000 S Lincoln St Suite 1 Littleton CO 80122,+1 303 339 5390
Utah Youth Soccer Association,federation-state-youth,Salt Lake City UT,https://www.utahyouthsoccer.net/,info@utahyouthsoccer.net,General Inbox,Utah youth pyramid; Real Salt Lake / Royals overlap,3214 N University Ave Suite 600 Provo UT 84604,+1 801 254 9700
Nevada Youth Soccer Association,federation-state-youth,Las Vegas NV,https://www.nysasoccer.com/,info@nysasoccer.com,General Inbox,Nevada youth pyramid; Las Vegas Lights overlap,5740 S Arville St Suite 215 Las Vegas NV 89118,+1 702 873 7500
Minnesota Youth Soccer Association,federation-state-youth,Minneapolis MN,https://www.mnyouthsoccer.org/,info@mnyouthsoccer.org,General Inbox,Minnesota youth pyramid; MN United / Dark Clouds overlap,11577 Encore Cir Minnetonka MN 55343,+1 763 535 4445
Wisconsin Youth Soccer Association,federation-state-youth,Waukesha WI,https://www.wiyouthsoccer.com/,info@wiyouthsoccer.com,General Inbox,WI youth pyramid; Forward Madison FC supporter overlap,W175 N11117 Stonewood Dr Germantown WI 53022,+1 262 376 8585
Missouri Youth Soccer Association,federation-state-youth,Saint Louis MO,https://www.moyouthsoccer.org/,info@moyouthsoccer.org,General Inbox,MO youth pyramid; STL City + Sporting KC dual-market overlap; both KC and STL strong soccer cities,12851 Manchester Rd Suite 105 Des Peres MO 63131,+1 314 835 9750
Indiana Soccer (Indiana Youth Soccer Association),federation-state-youth,Indianapolis IN,https://www.soccerindiana.org/,info@soccerindiana.org,General Inbox,IN youth pyramid; Indy Eleven supporter overlap; Indiana D1 dominance via IU Hoosiers,9100 Purdue Rd Suite 102 Indianapolis IN 46268,+1 317 487 2056
Tennessee State Soccer Association,federation-state-youth,Nashville TN,https://www.tnsoccer.org/,info@tnsoccer.org,General Inbox,TN youth pyramid; Nashville SC + Chattanooga FC + Memphis 901 overlap,2370 Hillsboro Rd Suite 201 Nashville TN 37212,+1 615 386 9606
Alabama Youth Soccer Association,federation-state-youth,Pelham AL,https://www.alyouthsoccer.org/,info@alyouthsoccer.org,General Inbox,Alabama youth pyramid; Birmingham Legion overlap; growing SEC women's soccer market,1995 1st St N Alabaster AL 35007,+1 205 663 8550
Mississippi Soccer Association,federation-state-youth,Madison MS,https://www.mississippisoccer.org/,info@mississippisoccer.org,General Inbox,MS youth pyramid; underserved soccer state but growing,P.O. Box 320 Madison MS 39130,
Louisiana Soccer Association,federation-state-youth,New Orleans LA,https://www.louisianasoccer.com/,info@louisianasoccer.com,General Inbox,Louisiana youth pyramid; New Orleans Jesters NPSL overlap,1003 W Esplanade Ave Suite K Kenner LA 70065,+1 504 467 0211
Oklahoma Soccer Association,federation-state-youth,Tulsa OK,https://www.oksoccer.com/,info@oksoccer.com,General Inbox,Oklahoma youth pyramid; FC Tulsa + Oklahoma City Energy overlap,10930 E 45th St Tulsa OK 74146,+1 918 627 2663
Kansas State Youth Soccer Association,federation-state-youth,Topeka KS,https://www.ksysa.org/,info@ksysa.org,General Inbox,Kansas youth pyramid; Sporting KC supporter overlap; WC2026 KC host overlap,P.O. Box 5566 Topeka KS 66605,+1 785 234 1271
Iowa Soccer Association,federation-state-youth,Des Moines IA,https://www.iowasoccer.org/,info@iowasoccer.org,General Inbox,Iowa youth pyramid; underserved state with growing private-school SEC pipeline,4685 NW Beaver Dr Johnston IA 50131,+1 515 727 1003
Nebraska State Soccer Association,federation-state-youth,Omaha NE,https://www.nebraskasoccer.org/,info@nebraskasoccer.org,General Inbox,Nebraska youth pyramid; Union Omaha supporter overlap,9202 W Dodge Rd Suite 304 Omaha NE 68114,+1 402 391 4400
Hawaii Youth Soccer Association,federation-state-youth,Honolulu HI,https://www.hawaiisoccer.com/,info@hawaiisoccer.com,General Inbox,Hawaii youth pyramid; Pacific-island and Japanese diaspora crossover,P.O. Box 88251 Honolulu HI 96830,+1 808 422 1141
Alaska State Soccer Association,federation-state-youth,Anchorage AK,https://www.alaskasoccer.org/,info@alaskasoccer.org,General Inbox,Alaska youth pyramid; small but engaged community,P.O. Box 110280 Anchorage AK 99511,+1 907 277 2772
New Mexico Youth Soccer Association,federation-state-youth,Albuquerque NM,https://www.nmysa.org/,info@nmysa.org,General Inbox,NM youth pyramid; New Mexico United supporter overlap; Mexico-jersey halo during WC2026,P.O. Box 14635 Albuquerque NM 87191,+1 505 830 2245
West Virginia Soccer Association,federation-state-youth,Charleston WV,https://www.wvsoccer.org/,info@wvsoccer.org,General Inbox,West Virginia youth pyramid; underserved state,P.O. Box 5277 Charleston WV 25361,+1 304 776 1283
Kentucky Youth Soccer Association,federation-state-youth,Louisville KY,https://www.kysoccer.net/,info@kysoccer.net,General Inbox,Kentucky youth pyramid; Louisville City + Racing Louisville overlap,5511 Bardstown Rd Louisville KY 40291,+1 502 459 7141
Arkansas State Soccer Association,federation-state-youth,Little Rock AR,https://www.arkansassoccer.org/,info@arkansassoccer.org,General Inbox,Arkansas youth pyramid; underserved state with U of A SEC soccer presence,P.O. Box 23606 Little Rock AR 72221,+1 501 663 9333
Maine Soccer Association,federation-state-youth,Westbrook ME,https://www.mainesoccer.org/,info@mainesoccer.org,General Inbox,Maine youth pyramid; Portland Hearts of Pine USL League One supporter overlap,P.O. Box 1715 Westbrook ME 04098,
New Hampshire Soccer Association,federation-state-youth,Concord NH,https://www.nhsoccer.org/,info@nhsoccer.org,General Inbox,NH youth pyramid; small but dense around Manchester / Nashua,4 Park St Suite 305 Concord NH 03301,+1 603 226 4137
Vermont Soccer Association,federation-state-youth,Williston VT,https://www.vermontsoccer.org/,info@vermontsoccer.org,General Inbox,Vermont youth pyramid; small but engaged; UVM soccer alumni network,P.O. Box 1416 Williston VT 05495,
Rhode Island Soccer Association,federation-state-youth,Cranston RI,https://www.risoccer.org/,info@risoccer.org,General Inbox,Rhode Island youth pyramid; Rhode Island FC supporter overlap,P.O. Box 23142 Providence RI 02903,
Delaware Youth Soccer Association,federation-state-youth,Wilmington DE,https://www.dysa.com/,info@dysa.com,General Inbox,Delaware youth pyramid; small state but I-95 corridor,P.O. Box 11237 Wilmington DE 19850,+1 302 838 3030
North Dakota State Soccer Association,federation-state-youth,Fargo ND,https://www.ndsoccer.com/,info@ndsoccer.com,General Inbox,North Dakota youth pyramid; small but engaged,P.O. Box 9622 Fargo ND 58106,
South Dakota State Soccer Association,federation-state-youth,Sioux Falls SD,https://www.sdsoccer.org/,info@sdsoccer.org,General Inbox,South Dakota youth pyramid,P.O. Box 88456 Sioux Falls SD 57109,
Montana Youth Soccer Association,federation-state-youth,Bozeman MT,https://www.montanayouthsoccer.com/,info@montanayouthsoccer.com,General Inbox,Montana youth pyramid; small but growing,P.O. Box 2745 Bozeman MT 59771,
Wyoming Youth Soccer Association,federation-state-youth,Casper WY,https://www.wysa.com/,info@wysa.com,General Inbox,Wyoming youth pyramid; smallest state youth assoc,P.O. Box 1928 Casper WY 82602,
Idaho Youth Soccer Association,federation-state-youth,Boise ID,https://www.idahoyouthsoccer.org/,info@idahoyouthsoccer.org,General Inbox,Idaho youth pyramid; Boise State / U of I soccer alumni overlap,6928 W State St Suite 102 Boise ID 83714,+1 208 333 0010
US Soccer Adult Soccer (USASA),federation-national,Chicago IL; national,https://www.usasa.com/,office@usasa.com,General Inbox,Adult amateur soccer governing body affiliated with USSF; 54 state assocs; ~250K adult amateur players,1801 S Prairie Ave Chicago IL 60616 (shared US Soccer HQ),
ACC Soccer (Atlantic Coast Conference),federation-college-conference,Greensboro NC,https://theacc.com/,info@theacc.com,Conference Comms,Hosts the strongest combined men's + women's D1 soccer conference in the US (UNC Duke Wake Forest Virginia Notre Dame Florida State Louisville Clemson NC State Pitt); one yes cascades to 16+ programs,4512 Weybridge Ln Greensboro NC 27407; soccer comms via specific SIDs,+1 336 851 6062
Big Ten Conference Soccer,federation-college-conference,Rosemont IL,https://bigten.org/,info@bigten.org,Conference Comms,Big Ten soccer cascading to Indiana Maryland Michigan Penn State Northwestern Ohio State UCLA Washington Rutgers etc; perfect WC2026 educator channel,5440 Park Pl Rosemont IL 60018,+1 847 696 1010
SEC Soccer (Southeastern Conference),federation-college-conference,Birmingham AL,https://www.secsports.com/,info@sec.org,Conference Comms,SEC women's soccer top tier (Arkansas South Carolina Florida Tennessee Texas A&M); WC2026 South-region overlap; major media reach,2201 Richard Arrington Jr Blvd N Birmingham AL 35203,+1 205 458 3000
Indiana University Soccer (Hoosiers),ncaa-mens,Bloomington IN,https://iuhoosiers.com/,iusid@indiana.edu,Athletics Communications,Most successful D1 men's soccer program in NCAA history (8 national titles); WC2026 educator angle; large alumni network,1001 E 17th St Bloomington IN 47408; soccer SID via main athletics comms,+1 812 855 2421
Wake Forest University Soccer (Demon Deacons),ncaa-mens,Winston-Salem NC,https://godeacs.com/,info@godeacs.com,Athletics Communications,Top-3 ACC men's soccer program; national title 2007; deep MLS draft pipeline,Bridger Field House 499 Deacon Blvd Winston-Salem NC 27105,+1 336 758 5616
University of North Carolina Soccer (Tar Heels),ncaa-mens,Chapel Hill NC,https://goheels.com/,info@goheels.com,Athletics Communications,Multiple men's national titles + 22+ women's national titles (Anson Dorrance era); largest women's soccer brand in NCAA,P.O. Box 2126 Chapel Hill NC 27515; women's program is the dominant signal here,+1 919 962 6000
UCLA Soccer (Bruins),ncaa-mens,Los Angeles CA,https://uclabruins.com/,athletics@athletics.ucla.edu,Athletics Communications,Top Pac-12 / Big Ten soccer program; Final Four regular; LA WC2026 host market,J.D. Morgan Center 325 Westwood Plaza Los Angeles CA 90095,+1 310 825 8699
Stanford University Soccer (Cardinal),ncaa-mens,Stanford CA,https://gostanford.com/,athletics@stanford.edu,Athletics Communications,Multiple men's + women's national titles; Bay Area WC2026 host market overlap,641 East Campus Dr Stanford CA 94305,+1 650 723 4591
University of Notre Dame Soccer (Fighting Irish),ncaa-mens,South Bend IN,https://und.com/,sid@und.edu,Athletics Communications,2013 men's national champions; deep Catholic college fan base; growing women's program,113 Joyce Center Notre Dame IN 46556,+1 574 631 7516
Georgetown University Soccer (Hoyas),ncaa-mens,Washington DC,https://guhoyas.com/,info@guhoyas.com,Athletics Communications,2019 men's national champions; DC alumni network; WC2026 DC market overlap,McDonough Arena 37th & O Streets NW Washington DC 20057,+1 202 687 2435
University of Maryland Soccer (Terrapins),ncaa-mens,College Park MD,https://umterps.com/,info@umterps.com,Athletics Communications,2018 men's national champions; deep DMV alumni network; WC2026 DC market overlap,P.O. Box 295 College Park MD 20741,+1 301 314 7064
University of Virginia Soccer (Cavaliers),ncaa-mens,Charlottesville VA,https://virginiasports.com/,sid@virginia.edu,Athletics Communications,Multiple men's national titles inc 2014; long-standing top ACC program; DMV market overlap,P.O. Box 400839 Charlottesville VA 22904,+1 434 982 5500
University of Akron Soccer (Zips),ncaa-mens,Akron OH,https://gozips.com/,athletics@uakron.edu,Athletics Communications,2010 men's national champions; consistent MLS draft pipeline; Ohio market,302 Buchtel Common Akron OH 44325,+1 330 972 7080
Clemson University Soccer (Tigers),ncaa-mens,Clemson SC,https://clemsontigers.com/,info@clemsontigers.com,Athletics Communications,2021 men's national champions; deep ACC program; SC market overlap,Vickery Hall Clemson SC 29634,+1 864 656 2114
Duke University Soccer (Blue Devils),ncaa-mens,Durham NC,https://goduke.com/,sidoffice@duke.edu,Athletics Communications,Top ACC men's + women's program; deep NC market overlap with UNC + NCFC,Cameron Indoor Stadium 115 Whitford Dr Durham NC 27708,+1 919 684 2120
University of Pittsburgh Soccer (Panthers),ncaa-mens,Pittsburgh PA,https://pittsburghpanthers.com/,info@pittsburghpanthers.com,Athletics Communications,2020 men's College Cup runners-up; consistent ACC top program; growing PA youth pipeline,3719 Terrace St Pittsburgh PA 15261,+1 412 648 8240
Stanford University Women's Soccer (Cardinal),ncaa-womens,Stanford CA,https://gostanford.com/,athletics@stanford.edu,Athletics Communications,3+ NCAA women's national championships; Bay Area WC2026 host market; talent pipeline to NWSL+USWNT,641 East Campus Dr Stanford CA 94305; same SID as men's,
University of North Carolina Women's Soccer (Tar Heels),ncaa-womens,Chapel Hill NC,https://goheels.com/,info@goheels.com,Athletics Communications,22+ NCAA women's national titles (Anson Dorrance); dominant women's soccer program in NCAA history,P.O. Box 2126 Chapel Hill NC 27515,
UCLA Women's Soccer (Bruins),ncaa-womens,Los Angeles CA,https://uclabruins.com/,athletics@athletics.ucla.edu,Athletics Communications,Multiple women's national titles; LA WC2026 host market; deep USWNT pipeline,J.D. Morgan Center 325 Westwood Plaza Los Angeles CA 90095,
University of Florida Women's Soccer (Gators),ncaa-womens,Gainesville FL,https://floridagators.com/,info@floridagators.com,Athletics Communications,SEC champion regular; Florida WC2026 market overlap; USWNT pipeline,P.O. Box 14485 Gainesville FL 32604,+1 352 375 4683
University of Tennessee Women's Soccer (Lady Vols),ncaa-womens,Knoxville TN,https://utsports.com/,sid@utad.utk.edu,Athletics Communications,SEC women's title contender; Nashville SC + Knoxville One overlap,1551 Lake Loudoun Blvd Knoxville TN 37996,+1 865 974 1218
Penn State University Women's Soccer (Nittany Lions),ncaa-womens,University Park PA,https://gopsusports.com/,info@gopsusports.com,Athletics Communications,2015 NCAA women's national champions; Big Ten dominance; PA youth overlap,Bryce Jordan Center University Park PA 16802,+1 814 865 1086
University of Southern California Women's Soccer (Trojans),ncaa-womens,Los Angeles CA,https://usctrojans.com/,info@usctrojans.com,Athletics Communications,2007 + 2016 NCAA women's national champions; LA WC2026 host market; deep USWNT pipeline,Heritage Hall 3501 Watt Way Los Angeles CA 90089,+1 213 740 8480
University of Virginia Women's Soccer (Cavaliers),ncaa-womens,Charlottesville VA,https://virginiasports.com/,sid@virginia.edu,Athletics Communications,ACC women's title contender; deep NWSL pipeline,P.O. Box 400839 Charlottesville VA 22904,
Duke University Women's Soccer (Blue Devils),ncaa-womens,Durham NC,https://goduke.com/,sidoffice@duke.edu,Athletics Communications,ACC women's top program; deep NC soccer market overlap,Cameron Indoor Stadium Durham NC 27708,
Santa Clara University Women's Soccer (Broncos),ncaa-womens,Santa Clara CA,https://santaclarabroncos.com/,info@santaclarabroncos.com,Athletics Communications,2020 NCAA women's national champions; Brandi Chastain alumni; Bay Area WC2026 host market,500 El Camino Real Santa Clara CA 95053,+1 408 554 4063
University of Connecticut Soccer (Huskies),ncaa-mens,Storrs CT,https://uconnhuskies.com/,sid@uconn.edu,Athletics Communications,2000 men's national champions; consistent Big East program; CT youth + Hartford Athletic overlap,2095 Hillside Rd Storrs CT 06269,+1 860 486 5060
University of Washington Soccer (Huskies),ncaa-mens,Seattle WA,https://gohuskies.com/,info@gohuskies.com,Athletics Communications,Top Pac-12 / Big Ten program; Seattle WC2026 host market; Sounders alumni pipeline,Graves Building Seattle WA 98195,+1 206 543 2230
Marquette University Soccer (Golden Eagles),ncaa-mens,Milwaukee WI,https://gomarquette.com/,info@gomarquette.com,Athletics Communications,Big East men's top program; Milwaukee market without MLS,1212 W Wisconsin Ave Milwaukee WI 53201,+1 414 288 6303
SUM (Soccer United Marketing),federation-national,New York NY,https://www.mlssoccer.com/sum,info@mlssoccer.com,Commercial Office,Commercial arm of MLS that also markets USMNT + Liga MX in the US; central node for any US-football-marketing partnership,Same address as MLS HQ; consider as MLS press routing,
American Outlaws (USMNT supporters),supporters-trust,Lincoln NE,https://www.theamericanoutlaws.com/,info@theamericanoutlaws.com,General Inbox,~30K members in 200+ chapters supporting USMNT; the single largest US national-team supporters club; perfect WC2026 channel,Founded 2007 in Lincoln NE; co-founder Korey Donahoo; chapter network covers all 50 states,
The Yellow Wall (chapter network),supporters-trust,Multi-city,https://www.borussiadortmund-fanclubs.com/,info@bvb.de,Supporters Network,Largest BVB Dortmund fan-club network outside Germany lives in the US; perfect for German + Mundial 2026 angle,Routes via BVB official fan-club desk,
DC Statesmen + ENGland Members Club,supporters-trust,Multi-city,https://www.englandsupportersclub.com/,enquiries@thefa.com,General Inbox,US chapters of the official England supporters club; useful WC2026 EN-fan-engagement angle in DC + NYC + LA,Reach via The FA central registry,
Local Initiative AUSA (Association of US Soccer Coaches state chapters),federation-state-youth,national,https://unitedsoccercoaches.org/,info@unitedsoccercoaches.org,General Inbox,United Soccer Coaches state-chapter network (Texas Florida California etc) - same parent body as the national org above; chapter routing makes state-specific outreach more direct,Routes via main Kansas City office,
NSCAA Foundation (now United Soccer Coaches Foundation),federation-national,Kansas City MO,https://unitedsoccercoaches.org/,foundation@unitedsoccercoaches.org,Foundation Office,Charitable arm of the coaches association; coaching-education channel into the WC2026 community-engagement narrative,30 W Pershing Rd Suite 350 Kansas City MO 64108,
USL Player Association,federation-national,national,https://uslplayers.org/,info@uslplayers.org,Executive Office,Player union covering all USL Championship + League One players; co-signal moves locker rooms,Founded 2022; Director Andrew Wiebe (unverified),
US Adult Soccer Cosmopolitan League (NY),federation-state-youth,New York NY,https://www.cosmopolitansoccerleague.org/,info@cosmopolitansoccerleague.org,General Inbox,One of the oldest adult amateur leagues in the US (1923); strong NYC ethnic-community clubs (Polish German Greek Italian Hispanic); WC2026 NY metro overlap,Affiliated with USASA via ENYSSA,
Maryland Major Soccer League,federation-state-youth,Baltimore MD,https://www.marylandmajor.com/,info@marylandmajor.com,General Inbox,Largest adult amateur league in MD/DC; 50+ clubs; WC2026 DC market overlap,Spring + Fall seasons; affiliated USASA,
Cosmos League (Long Island NY),federation-state-youth,Long Island NY,https://www.licsleague.com/,info@licsleague.com,General Inbox,Long Island adult amateur league; ethnic-community clubs; WC2026 NY/NJ host overlap,LICSL is the Long Island Cosmopolitan Soccer League,
