name,tier,state,website,best_contact_email,best_contact_role,why_target,notes,phone
Vera Cruz (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Vitória de Santo Antão PE A2,,
Vitória (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Vitória de Santo Antão PE A2,,
Ypiranga (PE),Estadual PE,PE,(search),(use Instagram DM),Comunicação,Timbaúba PE A2,,
Atlético Cearense (Série B),Estadual CE,CE,https://www.atleticoce.com.br/,(form on site),Comunicação,Cearense B; also in Série D,,
Barbalha,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Barbalha CE B,,
Cariri,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Crato CE B,,
Caucaia,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Caucaia CE B,,
Crateús,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Crateús CE B,,
Crato,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Crato CE B,,
Guarani de Juazeiro,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Juazeiro do Norte CE B,,
Guarany de Sobral,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Sobral CE B,,
Icasa,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Juazeiro do Norte CE B tradition,,
Itapipoca,Estadual CE,CE,(search),(use Instagram DM),Comunicação,Itapipoca CE B,,
Bom Jesus,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Goiás Divisão de Acesso,,
Crixás,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Crixás GO Divisão de Acesso,,
Goiânia,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Goiânia tradition Divisão de Acesso,,
Goianésia,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Goianésia GO Div Acesso,,
Grêmio Anápolis,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Anápolis Div Acesso,,
Mineiros,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Mineiros GO Div Acesso,,
Morrinhos,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Morrinhos GO Div Acesso,,
Rio Verde,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Rio Verde GO Div Acesso,,
Trindade,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Trindade GO Div Acesso,,
Tupy de Jussara,Estadual GO,GO,(search),(use Instagram DM),Comunicação,Jussara GO Div Acesso,,
USP Futebol,Universidade,SP,https://www.usp.br/,coordenacao@cepeusp.usp.br,Coord Esportes / CEPE-USP,Biggest Brazilian university; AAAUSP runs football,,
UNICAMP Futebol,Universidade,SP,https://www.fef.unicamp.br/,(form on site),Coord Esportes / Faculdade de Educação Física,UNICAMP football has strong inter-university tradition,,
PUC-SP / PUC-Rio / PUC-MG futebol,Universidade,SP/RJ/MG,https://www.puc-rio.br/,(form on site),Coord Esportes / Atlética,PUC ecosystem runs major Atlética-led leagues,,
UFRJ AAAUFRJ futebol,Universidade,RJ,https://ufrj.br/,(form on site),Atlética / DCE,"Federal university; ""Macabéa"" tradition",,
UFMG futebol,Universidade,MG,https://ufmg.br/,(form on site),Atlética DCE / Sec Esportes,Federal university BH; big inter-univ derby vs PUC-MG,,
UFRGS futebol,Universidade,RS,https://www.ufrgs.br/,(form on site),Atlética DCE,Porto Alegre; deep football culture,,
UFBA futebol,Universidade,BA,https://www.ufba.br/,(form on site),Atlética DCE,Salvador; engaged student body,,
UFPE futebol,Universidade,PE,https://www.ufpe.br/,(form on site),Atlética DCE,Recife; strong NE student league pull,,
UFPR futebol,Universidade,PR,https://www.ufpr.br/,(form on site),Atlética DCE,Curitiba; growing inter-univ league,,
UFSC futebol,Universidade,SC,https://ufsc.br/,(form on site),Atlética DCE,Florianópolis; SC futsal + grass,,
UnB Brasília futebol,Universidade,DF,https://www.unb.br/,(form on site),Atlética DCE,Brasília federal univ,,
USJT / Mackenzie / FMU Atléticas SP,Universidade,SP,(varies),(form on site),Atléticas / Coord Esportes,Top private univ athletic associations,,
Federação Universitária Paulista de Esportes (FUPE),Universidade,SP,https://www.fupe.com.br/,(form on site),Diretoria,Runs the biggest student league in country (LIGA NACIONAL ATL UNIV),,
Magnus Futsal,Futsal,SP,https://magnusfutsal.com.br/,(form on site),Marketing,LNF Elite; Sorocaba,Multi-time national champion,
Corinthians Futsal,Futsal,SP,https://www.corinthians.com.br/futsal,(via club),Marketing,LNF Elite; Corinthians' giant audience,,
Cruzeiro Futsal,Futsal,MG,https://www.cruzeiro.com.br/,(via club),Marketing,LNF Elite; Belo Horizonte,,
Joinville Futsal (JEC Krona),Futsal,SC,https://www.joinvilleec.com.br/,(via club),Marketing,LNF Elite; SC traditional powerhouse,,
Cascavel Futsal,Futsal,PR,https://www.cascavelfutsal.com.br/,(form on site),Marketing,LNF Elite; Cascavel PR,,
Foz Cataratas Futsal,Futsal,PR,(search),(use Instagram DM),Marketing,LNF Elite; Foz do Iguaçu,,
Jaraguá Futsal,Futsal,SC,(search),(use Instagram DM),Marketing,LNF Elite; Jaraguá do Sul,,
Joaçaba Futsal,Futsal,SC,(search),(use Instagram DM),Marketing,LNF Elite; SC,,
Marreco Futsal,Futsal,PR,(search),(use Instagram DM),Marketing,LNF Elite; Francisco Beltrão PR,,
Minas Tênis Clube Futsal,Futsal,MG,https://www.minastc.com.br/,(form on site),Marketing,LNF Elite; BH,,
Pato Futsal,Futsal,PR,https://www.patofutsal.com.br/,(form on site),Marketing,LNF Elite; Pato Branco PR,,
Praia Clube Futsal,Futsal,MG,https://www.praiaclube.org.br/,(form on site),Marketing,LNF Elite; Uberlândia,,
Santo André Futsal,Futsal,SP,(search),(use Instagram DM),Marketing,LNF Elite; ABC paulista,,
São José Futsal,Futsal,SP,(search),(use Instagram DM),Marketing,LNF Elite; São José dos Campos,,
São Lourenço Futsal,Futsal,SC,(search),(use Instagram DM),Marketing,LNF Elite; SC,,
Tubarão Futsal,Futsal,SC,(search),(use Instagram DM),Marketing,LNF Elite; SC,,
Umuarama Futsal,Futsal,PR,(search),(use Instagram DM),Marketing,LNF Elite; PR,,
Vélez Camaquã Futsal,Futsal,RS,(search),(use Instagram DM),Marketing,LNF Elite; RS,,
Vasco da Gama Futsal,Futsal,RJ,https://www.vasco.com.br/,(via club),Marketing,LNF Silver; Vasco's huge audience entering futsal,,
São Caetano Futsal,Futsal,SP,(search),(use Instagram DM),Marketing,LNF Silver; ABC paulista,,
Apodi Futsal,Futsal,RN,(search),(use Instagram DM),Marketing,LNF Silver; Apodi RN,,
Sport Recife Futsal,Futsal,PE,https://www.sportrecife.com.br/,(via club),Marketing,LNF Silver; Sport's audience entering futsal,,
Balsas Futsal,Futsal,MA,(search),(use Instagram DM),Marketing,LNF Silver; Balsas MA,,
Concórdia Futsal,Futsal,SC,(search),(use Instagram DM),Marketing,LNF Silver; SC,,
Gaviões da Fiel (Corinthians),Torcida,SP,https://www.gavioes.com.br/,(use form on site),Comunicação / Diretoria,Largest torcida in Brazil — 115K+ members; activates entire Corinthians base,Founded 1969; HQ Bom Retiro SP,
Mancha Verde (Palmeiras),Torcida,SP,http://manchaverde.com.br/,(form on site),Comunicação,150K+ members; one of biggest in BR,HQ Rua Turiassú 1.777 Perdizes SP; phone (11) 3872-4832,
Mancha Alviverde (Palmeiras),Torcida,SP,(search),(use Instagram DM),Comunicação,Palmeiras' other major torcida,,
Independente (São Paulo FC),Torcida,SP,https://www.tticentenario.com.br/,(use form),Comunicação,SPFC's biggest org founded 1972,,
Dragões da Real (São Paulo FC),Torcida,SP,https://dragoesdareal.com.br/,(form on site),Comunicação,SPFC's other big org + samba school,,
Raça Rubro-Negra (Flamengo),Torcida,RJ,https://www.racarubronegra.com.br/,(form on site),Comunicação,Biggest Rio torcida; founded 1977,Recently returned to stadiums after suspension,
Torcida Jovem Fla (Flamengo),Torcida,RJ,https://lojajovemfla.com.br/,(form on site /contato),Comunicação,Flamengo's other major torcida,WhatsApp +55 21 99424-9931,+55 21 99424-9931
Força Jovem Vasco,Torcida,RJ,https://lojaforcajovem.com.br/site-oficial/,(form on site),Comunicação,Vasco's biggest org founded 1970,,
Galoucura (Atlético-MG),Torcida,MG,http://www.torcidagaloucura.com.br/,(use form),Comunicação,Atlético-MG's biggest org founded 1984,HQ Rua Carijós 436 BH; phone (31) 3272-1928,
Máfia Azul (Cruzeiro),Torcida,MG,https://www.mafiaazuloficial.com.br/,(form on site),Comunicação,Cruzeiro's biggest org 80K+ members,HQ Barro Preto BH,
Os Fanáticos (Athletico-PR),Torcida,PR,https://www.osfanaticos.com.br/,(form on site),Comunicação,Biggest PR torcida founded 1977,,
Torcida Jovem do Santos,Torcida,SP,https://torcidajovem.com.br/,(form on site /contato),Comunicação,Santos' biggest org,HQ Rua Princesa Isabel 43 Vila Belmiro Santos,
