name,type,country,region,website,best_contact_email,best_contact_role,member_size,why_target,notes,phone
Boca Juniors Escuelas de Fútbol,club-academy,Argentina,National + global,https://www.bocajuniors.com.ar/futbol/inferiores,escuelas@bocajuniors.com.ar,Coordinación,~30000 kids per year across 80+ branches,Boca Juniors-branded football schools across Argentina and overseas; massive global fan family base,(unverified) inferred email,+54 11 5777 1500
River Plate Escuelas de Fútbol,club-academy,Argentina,National + global,https://www.cariverplate.com.ar/escuelas-de-futbol,escuelas@cariverplate.com.ar,Coordinación,~25000 kids per year across 70+ branches,River Plate-branded football schools across Argentina; biggest rival to Boca,(unverified) inferred email,+54 11 4789 1200
San Lorenzo Inferiores,club-academy,Argentina,National,https://www.sanlorenzo.com.ar/futbol/inferiores,inferiores@sanlorenzo.com.ar,Coordinación,~1500 kids in inferiores,San Lorenzo youth + Pope Francis fan base,(unverified) inferred email,
Independiente Inferiores,club-academy,Argentina,Buenos Aires,https://www.clubaindependiente.com/futbol/inferiores,inferiores@clubaindependiente.com,Coordinación,~1500 kids in inferiores,Independiente youth pyramid,(unverified) inferred email,
Racing Club Inferiores,club-academy,Argentina,Buenos Aires,https://www.racingclub.com.ar/futbol/inferiores,inferiores@racingclub.com.ar,Coordinación,~1500 kids in inferiores,Racing youth pyramid,(unverified) inferred email,
PSG Academy Argentina,club-academy,Argentina,Buenos Aires,https://psgacademyargentina.com/,info@psgacademyargentina.com,Office,~1500 kids per year,PSG-branded academy in BA; Messi + Mbappé hook for WC2026,(unverified) inferred email,
Common Goal Argentina,charity-football-org,Argentina,National,https://www.common-goal.org/,info@common-goal.org,Communications,~10 Argentine player members,Common Goal player-led charity with Argentinian footballer signatories,HQ Munich + global,
Fundación Messi,charity-football-org,Argentina,National + global,https://www.fundacionleomessi.org/,info@fundacionleomessi.org,Office,~1.5M children supported,Messi family foundation focused on children's healthcare and education; WC2026 + Messi narrative alignment is unique,(unverified) inferred email; Rosario,
Fútbol Para Todos / Argentina Universitario (UNDAV + UBA),university-soccer-program,Argentina,National,https://uba.ar/deportes,deportes@uba.ar,Coordinación,~30 universities,Universidades públicas argentinas runs uni football leagues; UBA flagship,(unverified) inferred email,
FPF Sub-15 / Sub-17 / Sub-19,youth-association-national,Portugal,National,https://www.fpf.pt/pt/Selecoes/Selecoes-de-formacao,base@fpf.pt,Coordenação,~200 base clubs,Federação Portuguesa Futebol youth national-team pathway; Cristiano Ronaldo halo,(unverified) inferred email; Cidade do Futebol Oeiras,+351 213 252 700
Benfica Campus / Escolas de Futebol,club-academy,Portugal,National + global,https://www.slbenfica.pt/pt-pt/futebol-formacao,escolas@slbenfica.pt,Coordenação Escolas,~50000 kids per year across 250+ academies worldwide,Benfica is the world's biggest grassroots football school operator with academies on every continent; parent mailing list is colossal,(unverified) inferred email; HQ Lisbon,+351 217 219 500
Sporting CP Academia / Escolas Sporting,club-academy,Portugal,National + global,https://www.sporting.pt/pt/futebol/futebol-formacao,escolas@sporting.pt,Coordenação,~25000 kids per year across 150+ academies,Sporting CP runs world-renowned youth academy + global escolas; Ronaldo Figo Bruno Fernandes alumni,(unverified) inferred email; Alvalade Lisbon,+351 217 516 000
FC Porto Dragon Force,club-academy,Portugal,National + global,https://dragonforce.fcporto.pt/,info@dragonforce.fcporto.pt,Coordenação,~25000 kids per year across 100+ centres,FC Porto-branded football schools with strong parent + family programme,(unverified) inferred email; HQ Porto,+351 225 070 500
SC Braga Cidade Desportiva Escolas,club-academy,Portugal,Braga,https://scbraga.pt/formacao,formacao@scbraga.pt,Coordenação,~2000 kids per year,SC Braga youth academy + escolas,(unverified) inferred email,
Federação Académica do Desporto Universitário (FADU),university-soccer-program,Portugal,National,https://www.fadu.pt/,fadu@fadu.pt,Secretariado,~30 universities,Portugal university sport federation; football is the biggest sport,Lisbon HQ,+351 213 511 500
Associação Nacional de Treinadores de Futebol (ANTF),coaching-business,Portugal,National,https://www.antf.pt/,geral@antf.pt,Direção,~10000 coach members,Portuguese coaches association; member coach reach across every club in Portugal,(unverified) inferred email,
Federación Española de Fútbol Sala Base,youth-association-national,Spain,National,https://rfef.es,futbolsala@rfef.es,Comité Nacional,~2000 base clubs,RFEF Futsal grassroots pyramid; Spanish kids play futsal first,(unverified) inferred email; HQ Las Rozas,+34 914 959 800
La Liga Promises,club-academy,Spain,National + global,https://www.laliga.com/promises,promises@laliga.es,Programme Office,~120 elite young players + ~5000 youth-tournament participants,La Liga-run U-12 international tournament + brand; ideal WC2026 lead-in,(unverified) inferred email,
FC Barcelona La Masia + Camp Nou Experiences,club-academy,Spain,Catalonia,https://www.fcbarcelona.com/en/football/la-masia,masia@fcbarcelona.com,Coordinación,~300 La Masia + ~5000 Barça Academy worldwide,Barça La Masia and Barça Academy global school programme; affluent + Catalan family audience,(unverified) inferred email; HQ Barcelona,+34 902 189 900
FC Barcelona Escola,club-academy,Spain,National + global,https://www.fcbarcelona.com/en/club/fcbescola,fcbescola@fcbarcelona.com,Coordinación,~25000 kids per year across 50+ schools,FCBEscola franchised football schools in Spain + worldwide,(unverified) inferred email,+34 902 189 900
Real Madrid Foundation Sociodeportiva,charity-football-org,Spain,National + global,https://www.realmadrid.com/en/about-real-madrid/foundation,fundacion@realmadrid.com,Director,~85000 children across 320+ schools in 95 countries,Real Madrid Foundation sociodeportiva schools reach 85k kids worldwide; biggest single multiplier in football,Confirmed contacts on site; HQ Madrid,+34 915 821 800
Atlético de Madrid Academy / Escuela,club-academy,Spain,National + global,https://www.atleticodemadrid.com/academy,academy@atleticodemadrid.com,Coordinación,~15000 kids per year,Atlético-branded academies in Spain + global; family programme integral,(unverified) inferred email,+34 913 661 947
Sevilla FC Escuela,club-academy,Spain,Andalusia,https://www.sevillafc.es/cantera,cantera@sevillafc.es,Coordinación,~2000 kids per year,Sevilla youth + escuelas in Andalusia,(unverified) inferred email,
Valencia CF Escuela,club-academy,Spain,Valencia,https://www.valenciacf.com/cantera,cantera@valenciacf.com,Coordinación,~1500 kids per year,Valencia youth + escuelas,(unverified) inferred email,
Real Sociedad Zubieta + Escolas,club-academy,Spain,Basque Country,https://www.realsociedad.eus/cantera,cantera@realsociedad.eus,Coordinación,~1500 kids per year,Real Sociedad academy with strong cantera identity,(unverified) inferred email,
Athletic Bilbao Lezama,club-academy,Spain,Basque Country,https://www.athletic-club.eus/cantera,cantera@athletic-club.eus,Coordinación,~1500 kids in cantera,Athletic Bilbao Basque-only cantera; tight community + family base,(unverified) inferred email,
Common Goal España,charity-football-org,Spain,National,https://www.common-goal.org/,info@common-goal.org,Communications,~30 Spanish player members,Common Goal Spain has Spanish player signatories including Juan Mata Andrés Iniesta,HQ Munich + global,
Comité Español de Deporte Universitario (CEDU),university-soccer-program,Spain,National,https://www.cedu.es/,info@cedu.es,Secretaría,~70 universities,Spain university sport federation; football flagship sport,(unverified) inferred email,
DFB Juniorenmannschaften (U15 to U21),youth-association-national,Germany,National,https://www.dfb.de/juniorinnen-junioren/,juniorinnen-junioren@dfb.de,Bereichsleitung,Junior national pathway,DFB youth national-team pathway; one signal opens DFB youth coach network nationwide,(unverified) inferred email; HQ Frankfurt,+49 69 6788 0
DFB Junioren Verbände + Landesverbände Talent,youth-association-state-or-regional,Germany,National,https://www.dfb.de/talente,talente@dfb.de,Bereichsleitung,~366 DFB Stützpunkte ~16000 kids per year,DFB Talentförderung Stützpunkt programme reaches every region; ideal WC2026 family multiplier,(unverified) inferred email,
Bayern Munich FC Bayern World Squad / Junior Team,club-academy,Germany,National + global,https://www.fcbayern.com/en/club/youth/junior-team,jugend@fcb.de,Coordination,~200 elite + 8000 across Junior Programme,FC Bayern Munich youth squads + Junior Team international programme; massive global fan family base,(unverified) inferred email,+49 89 699 31 0
Borussia Dortmund Jugend / BVB Evonik Fußballschule,club-academy,Germany,National + global,https://www.bvb.de/jugend,jugend@bvb.de,Koordination,~120 kids elite + 25000 across Fußballschule camps,BVB Evonik Fußballschule reaches 25k kids across Germany and beyond; massive parent family base,(unverified) inferred email,+49 231 902 0
RB Leipzig Akademie + Camps,club-academy,Germany,Saxony,https://www.rbleipzig.com/en/akademie,akademie@redbullsoccer.com,Coordination,~150 academy + 5000 camp,RB Leipzig academy + Red Bull-backed youth camps,(unverified) inferred email,
Bayer 04 Leverkusen Nachwuchs,club-academy,Germany,North Rhine-Westphalia,https://www.bayer04.de/en/akademie,akademie@bayer04.de,Coordination,~200 academy + 3000 camp,Bayer Leverkusen youth + camps,(unverified) inferred email,
Eintracht Frankfurt Akademie + Eintracht Fußballschule,club-academy,Germany,Hesse,https://eintracht.de/akademie,akademie@eintracht.de,Coordination,~200 + 5000 across camps,Eintracht youth + Fußballschule programmes; growing post-Europa-League family base,(unverified) inferred email,
Allgemeiner Deutscher Hochschulsportverband (adh) Fußball,university-soccer-program,Germany,National,https://www.adh.de/sportarten/fussball/,info@adh.de,Geschäftsstelle,~200 universities,Germany university sport federation; football is the biggest sport,(unverified) inferred email; Darmstadt,
Common Goal Germany,charity-football-org,Germany,National,https://www.common-goal.org/,info@common-goal.org,Communications,~25 German player members,Common Goal HQ is in Germany (Munich); German player signatories include Mats Hummels,HQ Munich,
Footbao Streetfootball Welt,charity-football-org,Germany,National + global,https://www.streetfootballworld.org/,info@streetfootballworld.org,Office,~250 NGO members in 90 countries,Sport-for-good network HQ in Berlin; football-positive narrative,Berlin HQ,+49 30 7800 6111
FFF Pôle Espoirs + Sections Sportives,youth-association-national,France,National,https://www.fff.fr/equipes-de-france/jeunes,jeunes@fff.fr,Direction Technique Nationale,~150 Pôles Espoirs ~1700 kids per year,FFF youth pathway through Pôles Espoirs + Sections Sportives in schools; Mbappé Camavinga alumni hook,(unverified) inferred email; HQ Paris,+33 1 44 31 73 00
FFF Foot à l'École / Foot des Princesses,school-soccer-program,France,National,https://www.fff.fr/article/16-foot-a-l-ecole.html,footalecole@fff.fr,Coordination,~5000 schools,FFF + Ministère Éducation Nationale schools football programme; nationwide reach,(unverified) inferred email,
PSG Academy France + Centre de Formation,club-academy,France,National + global,https://psgacademy.com/,academy@psg.fr,Coordination,~50 elite + 8000 across academies global,PSG academy + global PSG Academy network in 25+ countries; the WC2026 + Mbappé halo,(unverified) inferred email,+33 1 47 43 71 00
OL Olympique Lyonnais Académie + OL Camps,club-academy,France,Auvergne-Rhône-Alpes,https://www.ol.fr/fr/academie,academie@ol.fr,Coordination,~200 academy + 5000 OL Camps,Olympique Lyonnais academy + holiday camps; women's football leader hook,(unverified) inferred email,+33 4 81 07 55 00
Olympique de Marseille Centre de Formation + OM Camps,club-academy,France,Provence,https://www.om.fr/fr/centre-de-formation,academie@om.fr,Coordination,~200 academy + 4000 OM Camps,OM youth + holiday camps; Marseille fan base is one of the most engaged in football,(unverified) inferred email,+33 4 91 76 56 09
AS Monaco Academy + Camps,club-academy,France,Monaco,https://www.asmonaco.com/fr/academie,academie@asmonaco.com,Coordination,~150 academy + 2000 camps,Monaco youth + camps; Mbappé alumni hook,(unverified) inferred email,
Stade Rennais Centre de Formation,club-academy,France,Brittany,https://staderennais.com/fr/formation,formation@staderennais.com,Coordination,~200 academy,Stade Rennais youth + camps,(unverified) inferred email,
Fédération Française du Sport Universitaire (FFSU),university-soccer-program,France,National,https://sport-u.com/,contact@sport-u.com,Secrétariat,~150 universities,France university sport federation; football biggest sport,(unverified) inferred email,
Sport dans la Ville,charity-football-org,France,National,https://www.sportdanslaville.com/,contact@sportdanslaville.com,Communication,~9000 youth per year,Football-led youth-development charity in deprived French neighbourhoods,Lyon HQ,+33 4 72 60 39 33
FIGC Settore Giovanile e Scolastico,youth-association-national,Italy,National,https://www.figc.it/it/giovani/,sgs@figc.it,Direzione,~700000 youth players + 8000 schools,FIGC youth + schools sector; the entire Italian youth football pyramid in one yes,(unverified) inferred email; HQ Rome,+39 06 84911
FIGC Calcio Femminile Giovanile,youth-association-national,Italy,National,https://www.figc.it/it/femminile/,femminile@figc.it,Direzione,~25000 youth girls,FIGC women's youth pyramid,(unverified) inferred email,
Inter Milan Academy + Camp,club-academy,Italy,National + global,https://www.inter.it/en/academy,academy@inter.it,Coordination,~10000 kids across global academies,Inter Milan-branded global academies + summer camps; affluent + Asian family audiences,(unverified) inferred email,+39 02 4661 6111
AC Milan Academy + Junior Camp,club-academy,Italy,National + global,https://www.acmilan.com/en/academy,academy@acmilan.com,Coordination,~12000 kids per year across academies + camps,AC Milan-branded global academies + Junior Camp; global parent base,(unverified) inferred email,+39 02 6228 4567
Juventus Academy + JTC Camps,club-academy,Italy,National + global,https://www.juventus.com/en/academy/,academy@juventus.com,Coordination,~13000 kids per year across 70+ academies,Juventus-branded academies in 60+ countries; biggest Italian football brand globally,(unverified) inferred email,+39 011 6563 538
AS Roma Academy + Camp,club-academy,Italy,Lazio + Global,https://www.asroma.com/en/academy,academy@asroma.com,Coordination,~5000 kids per year,AS Roma-branded academies + summer camps,(unverified) inferred email,+39 06 5010 6113
Napoli Junior Camp + Academy,club-academy,Italy,Campania + Global,https://www.sscnapoli.it/junior-camp,academy@sscnapoli.it,Coordination,~3000 kids per year,Napoli Junior Camp + global academies,(unverified) inferred email,+39 081 5384300
Italian Soccer Camps (Inter / Juventus / AC Milan partner),holiday-camp-operator,Italy,National,https://www.italiansoccercamps.com/,info@italiansoccercamps.com,Office,~8000 kids per year,Operator running Italian-football-club-branded holiday camps,(unverified) inferred email,
Centro Universitario Sportivo Italiano (CUSI) Calcio,university-soccer-program,Italy,National,https://www.cusi.it/,segreteria@cusi.it,Segreteria,~50 universities,CUSI governs Italian university sport including calcio,(unverified) inferred email; Rome HQ,
Calcio Insieme (Charity),charity-football-org,Italy,National,https://www.calcioinsieme.it/,info@calcioinsieme.it,Office,~2000 youth,Italian inclusion football charity working with disabled youth,(unverified) inferred email,
KNVB Jeugd / KNVB Academy,youth-association-national,Netherlands,National,https://www.knvb.nl/over-de-knvb/jeugd,jeugd@knvb.nl,Directie,~500000 youth players,KNVB youth + Academy reaches every Dutch youth club + school in NL,(unverified) inferred email; HQ Zeist,+31 343 499 211
Ajax Cape Town Academy + Ajax Academies,club-academy,Netherlands,Global,https://english.ajax.nl/academy/,academy@ajax.nl,Coordination,~5000 kids per year global,Ajax-branded academies in 30+ countries; Cruyff legacy parent base,(unverified) inferred email; Amsterdam HQ,+31 20 311 1444
PSV Eindhoven Academy + PSV Camps,club-academy,Netherlands,Eindhoven,https://www.psv.nl/jeugd.htm,academy@psv.nl,Coordination,~250 academy + 3000 camps,PSV youth academy + camps,(unverified) inferred email,+31 40 250 5500
Feyenoord Academy + Feyenoord Soccer Schools,club-academy,Netherlands,Rotterdam,https://www.feyenoord.nl/academy,academy@feyenoord.nl,Coordination,~250 academy + 4000 schools,Feyenoord youth + Feyenoord Soccer Schools across NL,(unverified) inferred email,+31 10 492 9444
AZ Alkmaar Academy,club-academy,Netherlands,North Holland,https://www.az.nl/jeugd,jeugd@az.nl,Coordination,~200 academy,AZ Alkmaar youth + AZ Camps,(unverified) inferred email,
Studentensport Nederland (SSN) Voetbal,university-soccer-program,Netherlands,National,https://www.studentensport.nl/voetbal,info@studentensport.nl,Office,~15 universities,Dutch student sports federation; voetbal flagship,(unverified) inferred email,
Cruyff Foundation,charity-football-org,Netherlands,National + global,https://www.cruyff-foundation.org/,info@cruyff-foundation.org,Office,~250000 children reached annually,Cruyff Foundation runs Cruyff Courts in 24 countries + School Sport programmes,Amsterdam HQ,+31 20 305 3300
Karim Benzema 9 Foundation,charity-football-org,Netherlands,National,https://www.knvb.nl/over-de-knvb/maatschappelijk,maatschappelijk@knvb.nl,Office,~10000 kids,KNVB social-football programmes,(unverified) inferred email,
FMF Federación Mexicana de Fútbol Categorías Inferiores,youth-association-national,Mexico,National,https://www.miseleccion.mx/categorias-inferiores,inferiores@fmf.org.mx,Coordinación,~120 base clubs in Liga MX + Liga Expansión,FMF youth pathway through Liga MX academy pyramid; WC2026 host nation halo,(unverified) inferred email; HQ Toluca,+52 722 276 7100
FMF Fútbol Femenil Inferiores,youth-association-national,Mexico,National,https://www.miseleccion.mx/femenil,femenil@fmf.org.mx,Coordinación,~20 elite clubs base,Mexican women's youth pyramid,(unverified) inferred email,
Club América Fuerzas Básicas + Academia,club-academy,Mexico,CDMX,https://www.clubamerica.com.mx/fuerzas-basicas,academia@clubamerica.com.mx,Coordinación,~250 fuerzas básicas + 5000 escuelas,Club América-branded academy + escuelas across Mexico; biggest fan base in country,(unverified) inferred email,+52 55 5326 5000
Chivas Guadalajara Fuerzas Básicas + Academia,club-academy,Mexico,Jalisco,https://www.chivasdecorazon.com.mx/fuerzas-basicas,fuerzasbasicas@chivasdecorazon.com.mx,Coordinación,~250 fuerzas básicas + 4000 escuelas,Chivas youth + escuelas; only-Mexican-players identity is unique,(unverified) inferred email,+52 33 3777 7700
Tigres UANL Cantera + Academia,club-academy,Mexico,Nuevo León,https://www.tigres.com.mx/cantera,cantera@tigres.com.mx,Coordinación,~250 cantera + 3000 escuelas,Tigres youth + escuelas in Monterrey area,(unverified) inferred email,
CF Monterrey Rayados Cantera + Academia,club-academy,Mexico,Nuevo León,https://www.rayados.com/cantera,cantera@rayados.com,Coordinación,~250 cantera + 3000 escuelas,Rayados youth + escuelas,(unverified) inferred email,
Cruz Azul Cantera + Academia,club-academy,Mexico,CDMX,https://www.cruzazul.com.mx/cantera,cantera@cruzazul.com.mx,Coordinación,~250 cantera + 2500 escuelas,Cruz Azul youth + escuelas,(unverified) inferred email,
Pumas UNAM Cantera + Academia,club-academy,Mexico,CDMX,https://www.pumas.mx/cantera,cantera@pumas.mx,Coordinación,~250 cantera + 2000 escuelas,Pumas youth + escuelas tied to UNAM university,(unverified) inferred email,
CONDDE / CONADEIP Fútbol Universitario,university-soccer-program,Mexico,National,https://condde.org.mx/,condde@condde.org.mx,Secretaría,~80 universities,Mexico university sport federation; football biggest sport,(unverified) inferred email,
PSG Academy México,club-academy,Mexico,National,https://psgacademymexico.com/,info@psgacademymexico.com,Office,~1500 kids per year,PSG-branded academy network in Mexico,(unverified) inferred email,
Common Goal México,charity-football-org,Mexico,National,https://www.common-goal.org/,info@common-goal.org,Communications,~10 Mexican player members,Common Goal Mexican chapter; Hirving Lozano + others,HQ Munich,
Fundación Hugo Sánchez,charity-football-org,Mexico,National,https://www.fundacionhugosanchez.org/,contacto@fundacionhugosanchez.org,Office,~3000 kids per year,Hugo Sánchez foundation runs youth football programmes; WC1986 + WC2026 narrative goldmine,(unverified) inferred email,
Street Soccer México,charity-football-org,Mexico,National,https://streetsoccermexico.org/,info@streetsoccermexico.org,Office,~5000 youth per year,Inclusion football for marginalised youth in Mexico,(unverified) inferred email,
