name,tier,region,website,best_contact_email,best_contact_role,why_target,notes,phone
Memorial University Sea-Hawks Soccer,usports,St. John's NL,https://msuseahawks.ca/sports/msoc,athletics@mun.ca,Athletics Department,Only USports soccer in Newfoundland & Labrador; isolated student fan market,HQ Field House St. John's NL; (unverified email),709-864-8000
University of Saskatchewan Huskies Soccer,usports,Saskatoon SK,https://huskies.usask.ca/sports/wsoc,athletics@usask.ca,Athletics Department,Largest Saskatchewan university; only USports soccer hub in province,HQ PAC Saskatoon SK; (unverified email),306-966-1083
University of Manitoba Bisons Soccer,usports,Winnipeg MB,https://gobisons.ca/sports/msoc,athletics@umanitoba.ca,Athletics Department,Winnipeg campus; Valour FC adjacency,HQ Investors Group Field area Winnipeg MB; (unverified email),204-474-9000
University of Victoria Vikes Soccer,usports,Victoria BC,https://govikesgo.com/sports/msoc,athletics@uvic.ca,Athletics Department,UVic men's + women's; Vancouver Island anchor; Pacific FC + Highlanders adjacency,HQ Centennial Stadium Victoria BC; (unverified email),250-721-7211
Simon Fraser University Red Leafs Soccer,usports,Burnaby BC,https://gosfu.com/sports/msoc,athletics@sfu.ca,Athletics Department,SFU only Canadian NCAA D2 programme returning to USports; Vancouver metro,HQ Burnaby BC; (unverified email),778-782-3000
Vaughan Soccer Premier League Programme,youth-academy,Vaughan ON,https://vaughansoccer.ca/premier,info@vaughansoccer.ca,Premier Programme Office,Premier elite arm of Vaughan SC; feeds Vaughan Azzurri L1O,HQ Vaughan ON,905-264-9390
Whitby Iroquois Soccer Club,youth-academy,Whitby ON,https://whitbysoccer.com/,info@whitbysoccer.com,General Office,Durham region youth giant; 3000+ members,HQ Whitby ON,905-720-2222
Mississauga Falcons SC,youth-academy,Mississauga ON,https://mississaugafalcons.com/,info@mississaugafalcons.com,General Office,One of Mississauga's biggest youth clubs; diverse member base in Canada's most multicultural city,HQ Mississauga ON; (unverified email),(via website)
Saskatoon Soccer Centre,youth-academy,Saskatoon SK,https://saskatoonsoccercentre.com/,info@saskatoonsoccercentre.com,General Office,Largest indoor soccer hub in Saskatchewan; thousands of youth/adult players,HQ Saskatoon SK; (unverified email),306-975-3414
Winnipeg South End United SC,youth-academy,Winnipeg MB,https://wseusc.com/,info@wseusc.com,General Office,One of Winnipeg's largest youth clubs; Valour FC feeder,HQ Winnipeg MB; (unverified email),204-269-6644
