name,medium,country,language,audience_size,website,best_contact_email,best_contact_role,why_target,notes,handle
Fabrizio Romano (here-we-go global pull),social-twitter,Italy,en,~25M X followers,https://x.com/FabrizioRomano,fabrizio@fabrizioromano.com,Editor,"World's most powerful transfer-news journalist; global English audience; very brand-friendly","Follower count from X; freelance; brand sponsorships (NordVPN etc)",@FabrizioRomano
La Gazzetta dello Sport,traditional-newspaper,Italy,it,~50M monthly visits,https://www.gazzetta.it/,(via Gazzetta press),Editor,"Italy's largest sports daily; football centric","SimilarWeb IT; RCS MediaGroup; ad + subscription",@Gazzetta_it
Corriere dello Sport,traditional-newspaper,Italy,it,~35M monthly visits,https://www.corrieredellosport.it/,redazione@corrieredellosport.it,Editor,"Number two Italian sports daily","SimilarWeb IT; Conti Editore; ad + subscription",@cds_official
Tuttosport,traditional-newspaper,Italy,it,~25M monthly visits,https://www.tuttosport.com/,redazione@tuttosport.com,Editor,"Turin-based sports daily; Juventus-tilted","SimilarWeb IT; Edisport; ad + subscription",@tuttosport
Sky Sport Italia,traditional-broadcast,Italy,it,~5M Sky IT subs,https://sport.sky.it/,(via Sky IT press),Programming,"Sky IT's football flagship; Serie A + UCL","Sky public; Comcast/Sky; subscription",@SkySport
DAZN Italia,traditional-broadcast,Italy,it,~2M subscribers,https://www.dazn.com/it-IT,(via DAZN),Brand Partnerships,"Serie A rights holder in Italy","DAZN public; DAZN Group; subscription",@DAZN_IT
La Gazzetta TV,youtube,Italy,it,~700k YT subs,https://www.youtube.com/@gazzettatv,(via Gazzetta press),Producer,"Gazzetta's YouTube channel; football daily","Verified YT subs; RCS; ad + subscription",@gazzettatv
Cronache di Spogliatoio,podcast,Italy,it,~250k weekly downloads,https://cronachedispogliatoio.com/,info@cronachedispogliatoio.com,Production Office,"Cult Italian football culture pod; brand-friendly","Estimate from Spotify charts; independent; ad + Patreon",@cronachepod
Numer1,youtube,Italy,it,~150k YT subs,https://www.youtube.com/@Numer1,(via YouTube About page),Channel Owner,"Numbers-driven Italian football analysis; prediction angle fits","Verified YT subs; independent; ad",@Numer1
StorieDiCalcio,youtube,Italy,it,~120k YT subs,https://www.youtube.com/@StorieDiCalcio,(via YouTube About page),Channel Owner,"Italian football storytelling channel","Verified YT subs; independent; ad",@StorieDiCalcio
Carlo Pizzigoni,social-twitter,Italy,it,~80k X followers,https://x.com/cpizzigoni,(via Sky IT press),Commentator,"Sky IT football commentator","Follower count from X; Sky IT",@cpizzigoni
Fabio Caressa,social-twitter,Italy,it,~150k X followers,https://x.com/fabiocaressa,(via Sky IT press),Commentator,"Sky IT lead football commentator; ran 2006 WC final","Follower count from X; Sky IT",@fabiocaressa
Christian Vieri Bobo TV,youtube,Italy,it,~250k YT subs,https://www.youtube.com/@BoboTVOfficial,info@bobotv.it,Brand Partnerships,"Vieri Cassano Adani Ventola live show; brand-friendly","Verified YT subs; BoboTV; ad + brand partnerships",@BoboTVOfficial
Calcio e Finanza Newsletter,newsletter,Italy,it,~40k subscribers,https://www.calcioefinanza.it/,redazione@calcioefinanza.it,Editor,"Football business newsletter; industry decision-makers","Estimate from publisher; subscription + ad",@calcioefinanza
L'Equipe,traditional-newspaper,France,fr,~60M monthly visits,https://www.lequipe.fr/,redaction@lequipe.fr,Editor,"France's national sports daily; football centric","SimilarWeb FR; Amaury Group; subscription + ad",@lequipe
RMC Sport,traditional-broadcast,France,fr,~30M monthly digital reach,https://rmcsport.bfmtv.com/football/,(via RMC press),Programming,"Top French football radio + digital; Rothen Riolo Di Meco","Comscore FR; Altice; ad + subscription",@RMCsport
RMC Sport Football Club (After Foot),podcast,France,fr,~600k weekly listens,https://rmc.bfmtv.com/emission/after-foot/,(via RMC press),Producer,"Flagship daily football debate show; Gilbert Brisbois","Estimate from Mediametrie; Altice; ad",@RMCsport
Canal+ Sport,traditional-broadcast,France,fr,~5M Canal+ subs,https://www.canalplus.com/sport,(via Canal+ press),Programming,"Top1 / J+1 / late-night football brand","Canal+ public; Vivendi/Canal+; subscription",@CanalplusSport
beIN Sports France,traditional-broadcast,France,fr,~3M subscribers,https://www.beinsports.com/fr/,(via beIN press),Programming,"Multi-league rights including Ligue 1 portion + LaLiga + Serie A","beIN public; Qatari Sports Investments; subscription",@beINSPORTS_FR
Footballski,podcast,France,fr,~80k weekly downloads,https://footballski.fr/,contact@footballski.fr,Editor,"Eastern Europe football pod with French following","Estimate from Spotify; independent; ad + Patreon",@Footballski
So Foot,traditional-newspaper,France,fr,~8M monthly visits,https://www.sofoot.com/,redaction@sofoot.com,Editor,"Cult French football culture mag; younger audience","SimilarWeb FR; So Press; ad + subscription",@sofoot
Le 10 Sport,traditional-newspaper,France,fr,~15M monthly visits,https://www.le10sport.com/,redaction@le10sport.com,Editor,"French football transfer/news site","SimilarWeb FR; Le 10 Sport SAS; ad",@le10sport
Foot Mercato,traditional-newspaper,France,fr,~25M monthly visits,https://www.footmercato.net/,contact@footmercato.net,Editor,"French football transfer / news leader","SimilarWeb FR; Webedia; ad",@footmercato
TF1 Sport,traditional-broadcast,France,fr,~10M weekly TV reach,https://www.tf1.fr/sport,(via TF1 press),Programming,"TF1 holds France-team big match rights; partner-priority","TF1 public; TF1 Group; ad",@TF1Sport
RMC Daniel Riolo,social-twitter,France,fr,~700k X followers,https://x.com/DanielRiolo,(via RMC press),Columnist,"Outspoken French football pundit; podcast personality","Follower count from X; Altice",@DanielRiolo
Romain Molina,social-twitter,France,fr,~200k X followers,https://x.com/RomainMolina,(via personal site),Investigative Reporter,"Independent investigative football journalist","Follower count from X; freelance",@RomainMolina
Walid Acherchour,social-twitter,France,fr,~250k X followers,https://x.com/walidacherchour,(via RMC press),Pundit,"After Foot regular; younger audience","Follower count from X; Altice",@walidacherchour
Le Phoceen,traditional-newspaper,France,fr,~5M monthly visits,https://www.lephoceen.fr/,redaction@lephoceen.fr,Editor,"Marseille-focused football site; passionate fanbase","SimilarWeb FR; independent; ad",@lephoceen
Bild Sport,traditional-newspaper,Germany,de,~80M monthly visits,https://www.bild.de/sport/,sport@bild.de,Editor,"Bild's sport section; Germany's biggest football news outlet","SimilarWeb DE; Axel Springer; ad + subscription",@BILD_Sport
Kicker,traditional-newspaper,Germany,de,~70M monthly visits,https://www.kicker.de/,redaktion@kicker.de,Editor,"Germany's number one football specialist title","SimilarWeb DE; Olympia-Verlag; subscription + ad",@kicker
Sport1,traditional-broadcast,Germany,de,~40M monthly digital reach,https://www.sport1.de/fussball,kontakt@sport1.de,Editor,"Sport1's football vertical","SimilarWeb DE; Sport1 GmbH; ad",@SPORT1
Sky Sport Deutschland,traditional-broadcast,Germany,de,~3M Sky DE subs,https://sport.sky.de/,(via Sky DE press),Programming,"Bundesliga + UCL rights; partner-priority","Sky public; Comcast/Sky; subscription",@SkySportDE
DAZN Deutschland,traditional-broadcast,Germany,de,~3M subscribers,https://www.dazn.com/de-DE,(via DAZN),Brand Partnerships,"Bundesliga + UCL rights; partner-friendly","DAZN public; DAZN Group; subscription",@DAZN_DE
Spielmacher Podcast,podcast,Germany,de,~100k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"German tactical-football pod; younger audience",,@SpielmacherPod
Rasenfunk,podcast,Germany,de,~80k weekly downloads,https://rasenfunk.de/,info@rasenfunk.de,Max-Jacob Ost,"Long-form German football analysis pod; cult audience","Estimate from public charts; independent; listener-supported",@Rasenfunk
Spox,traditional-newspaper,Germany,de,~25M monthly visits,https://www.spox.com/de/sport/fussball/,redaktion@spox.com,Editor,"DAZN-owned German sports site","SimilarWeb DE; DAZN Group; ad",@spox
Tagesschau Sport,traditional-broadcast,Germany,de,~15M weekly TV reach,https://www.tagesschau.de/sport/,(via ARD press),Producer,"ARD national news sport segment","ARD public; ARD; public-service",@tagesschau
ZDF Sportstudio,traditional-broadcast,Germany,de,~5M weekly TV reach,https://www.zdf.de/sport/das-aktuelle-sportstudio,(via ZDF press),Producer,"Long-running ZDF Saturday-night football show","ZDF public; ZDF; public-service",@ZDFsport
11Freunde,traditional-newspaper,Germany,de,~6M monthly visits,https://11freunde.de/,redaktion@11freunde.de,Editor,"Football culture magazine; cult audience","SimilarWeb DE; Gruner+Jahr; subscription + ad",@11Freunde_de
Lukas Tank Tactico Newsletter,substack,Germany,de,~15k subscribers,https://tactico.substack.com/,(via Substack profile),Author,"Niche German tactical newsletter; engaged football-nerd audience","Estimate from Substack; subscription",@tacticonews
Bayern and Beyond,podcast,Germany,en,~50k weekly downloads,https://www.bavarianfootballworks.com/,info@bavarianfootballworks.com,Producer,"English-language Bayern Munich pod","Estimate from public charts; Vox Media; ad",@BavarianFB
Fabian Loosen Real-Football,social-twitter,Germany,de,~120k X followers,https://x.com/FabianLoosen,(via personal site),Stats Reporter,"German football stats account",,@FabianLoosen
A Bola,traditional-newspaper,Portugal,pt-PT,~25M monthly visits,https://www.abola.pt/,redacao@abola.pt,Editor,"Portugal's leading football daily","SimilarWeb PT; A Bola SA; ad + subscription",@abolapt
Record,traditional-newspaper,Portugal,pt-PT,~20M monthly visits,https://www.record.pt/,redacao@record.pt,Editor,"Portuguese sports daily; football-heavy","SimilarWeb PT; Cofina; ad + subscription",@record_portugal
O Jogo,traditional-newspaper,Portugal,pt-PT,~15M monthly visits,https://www.ojogo.pt/,ojogo@globalmediagroup.pt,Editor,"Porto-based Portuguese sports daily","SimilarWeb PT; Global Media; ad + subscription",@ojogoonline
SportTV,traditional-broadcast,Portugal,pt-PT,~2M subscribers,https://sporttv.pt/,(via NOS press),Programming,"Portugal's pay-TV football leader","NOS public; NOS Group; subscription",@SPORTTV
RTP Desporto,traditional-broadcast,Portugal,pt-PT,~10M weekly TV reach,https://www.rtp.pt/desporto/,(via RTP press),Producer,"Public broadcaster sport","RTP public; RTP; public-service",@rtpdesporto
TVI Mais Futebol,podcast,Portugal,pt-PT,~80k weekly downloads,https://maisfutebol.iol.pt/,maisfutebol@tvi.pt,Editor,"TVI's daily football show + podcast","Estimate from publisher; Media Capital; ad",@maisfutebol
Antena 1 Bola Branca,podcast,Portugal,pt-PT,~50k weekly downloads,https://www.rtp.pt/play/p1483/bola-branca,(via RTP press),Producer,"RTP's daily football show","Estimate from RTP; public-service",@AntenaUm
Pedro Almeida,social-twitter,Portugal,pt-PT,~100k X followers,https://x.com/pmiguelalmeida,(via Record press),Reporter,"Portuguese football reporter",,@pmiguelalmeida
Eredivisie Official,youtube,Netherlands,nl,~250k YT subs,https://www.youtube.com/@Eredivisie,partnerships@eredivisie.nl,Brand Partnerships,"Official Dutch top flight channel; partner-priority","Verified YT subs; Eredivisie CV; partnership",@eredivisie
ESPN NL,traditional-broadcast,Netherlands,nl,~3M subscribers,https://www.espn.nl/,(via ESPN NL press),Programming,"Eredivisie rights holder in NL; football flagship","ESPN NL public; Disney; subscription",@ESPNnl
Voetbal International (VI),traditional-newspaper,Netherlands,nl,~15M monthly visits,https://www.vi.nl/,redactie@vi.nl,Editor,"Dutch football weekly + digital leader","SimilarWeb NL; ProSieben/Mediahuis; subscription + ad",@VInl
NOS Sport,traditional-broadcast,Netherlands,nl,~10M weekly reach,https://nos.nl/sport,(via NOS press),Producer,"Dutch public broadcaster sport","NOS public; NOS; public-service",@NOSsport
Veronica Inside / Vandaag Inside,traditional-broadcast,Netherlands,nl,~1.5M weekly TV viewers,https://www.spotify.com/,(via Talpa press),Producer,"Wilfred Genee Johan Derksen Rene van der Gijp; massive Dutch football talk show","Talpa public; Talpa; ad",@VandaagInside
De Telegraaf Sport,traditional-newspaper,Netherlands,nl,~25M monthly visits,https://www.telegraaf.nl/sport/,sport@telegraaf.nl,Editor,"Largest Dutch daily sport section","SimilarWeb NL; Mediahuis; subscription + ad",@telesport
Studio Voetbal,podcast,Netherlands,nl,~100k weekly downloads,https://www.npostart.nl/studio-voetbal,(via NOS press),Producer,"NOS football debate show","Estimate from NOS; public-service",@StudioVoetbal
De Voetbalpodcast,podcast,Netherlands,nl,~120k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"Dutch football pundit pod",,@voetbalpodcast
VI Pro Football Newsletter,newsletter,Netherlands,nl,~30k subscribers,https://www.vi.nl/nieuwsbrief,redactie@vi.nl,Producer,"VI's daily football newsletter","Estimate from VI; subscription + ad",@VInl
433 NL,social-instagram,Netherlands,nl,~63M IG followers (global),https://www.433.com/,contact@433.com,Brand Partnerships,"NL-HQ'd 433 IG; world's biggest football account; partner-friendly","Follower count from IG; 433 BV; brand partnerships",@433
Marca Claro,traditional-newspaper,Mexico,es,~30M monthly visits,https://www.marca.com/claro-mx/,marcaclaro@marca.com,Editor,"Marca-Claro JV for Mexico/LatAm","SimilarWeb MX; Unidad Editorial/Claro; ad",@MarcaClaro
ESPN Deportes Mexico,traditional-broadcast,Mexico,es,~25M monthly digital reach,https://www.espn.com.mx/futbol/,(via ESPN MX press),Programming,"ESPN MX football daily","Comscore MX; Disney; ad + subscription",@ESPNmx
TUDN,traditional-broadcast,Mexico,es,~40M weekly cable + streaming,https://www.tudn.com/,(via Televisa press),Programming,"Televisa Univision football brand; Liga MX rights","Comscore MX; TelevisaUnivision; ad + subscription",@TUDNMEX
Fox Sports Mexico,traditional-broadcast,Mexico,es,~20M monthly digital reach,https://www.foxsports.com.mx/,(via Fox MX press),Programming,"Fox MX football daily","Comscore MX; Disney; ad",@FOXSportsMX
Mediotiempo,traditional-newspaper,Mexico,es,~40M monthly visits,https://www.mediotiempo.com/,redaccion@mediotiempo.com,Editor,"Mexico's biggest sports digital site","SimilarWeb MX; Editorial Televisa; ad",@mediotiempo
Record Mexico,traditional-newspaper,Mexico,es,~30M monthly visits,https://www.record.com.mx/,redaccion@record.com.mx,Editor,"Mexican sports daily","SimilarWeb MX; Editorial Notmusa; ad",@record_mexico
La Aficion (Milenio),traditional-newspaper,Mexico,es,~15M monthly visits,https://www.milenio.com/laaficion,laaficion@milenio.com,Editor,"Milenio's sport section","SimilarWeb MX; Multimedios; ad + subscription",@LaAficion
La Cantera,podcast,Mexico,es,~120k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"Mexican football pod",,@LaCanteraPod
Andre Marin Marca Claro,podcast,Mexico,es,~150k weekly downloads,https://www.marca.com/claro-mx/podcasts/,marcaclaro@marca.com,Producer,"Veteran Mexican commentator Marca Claro podcast",,@MarcaClaro
David Faitelson,social-twitter,Mexico,es,~5M X followers,https://x.com/Faitelson_ESPN,(via Televisa press),Columnist,"Most-followed Mexican football pundit; moved Univision in 2023","Follower count from X; Televisa Univision",@Faitelson_ESPN
Andre Marin,social-twitter,Mexico,es,~1.5M X followers,https://x.com/AndreMarinpuro,(via Marca Claro press),Columnist,"Veteran Mexican football journalist","Follower count from X; Marca Claro",@AndreMarinpuro
Hugo Sanchez,social-twitter,Mexico,es,~2M X followers,https://x.com/hugosanchez_9,(via personal),Pundit,"Legend turned pundit; brand-friendly","Follower count from X; freelance",@hugosanchez_9
TSN Soccer,traditional-broadcast,Canada,en,~20M monthly digital reach,https://www.tsn.ca/soccer,(via TSN press),Programming,"TSN's football arm; Canada Soccer + EPL rights","Comscore CA; Bell Media; ad + subscription",@TSN_Sports
Sportsnet Soccer,traditional-broadcast,Canada,en,~15M monthly digital reach,https://www.sportsnet.ca/soccer/,(via Sportsnet press),Programming,"Rogers' Sportsnet soccer arm","Comscore CA; Rogers; ad + subscription",@Sportsnet
OneSoccer,traditional-broadcast,Canada,en,~500k subscribers,https://onesoccer.ca/,info@onesoccer.ca,Brand Partnerships,"Canadian Premier League + Canada Soccer rights; partner-priority","Mediapro public; Mediapro CA; subscription",@onesoccer
CBC Sports,traditional-broadcast,Canada,en,~10M weekly reach,https://www.cbc.ca/sports/soccer,(via CBC press),Producer,"Public broadcaster Olympics + Canada Soccer","CBC public; CBC; public-service",@CBCSports
The Athletic Canada Soccer,traditional-newspaper,Canada,en,~100k subscribers (CA segment),https://theathletic.com/canada/,uksport@theathletic.com,Editor,"Athletic Canada soccer coverage including Joshua Kloke","Estimate from NYT; subscription",@TheAthleticFC
Northern Tribune,newsletter,Canada,en,~10k subscribers,https://northerntribune.ca/,info@northerntribune.ca,Editor,"Canadian soccer news site + newsletter","Estimate from publisher; independent; ad",@northerntribune
Waking the Red,blog,Canada,en,~8k subscribers,https://www.wakingthered.com/,info@wakingthered.com,Editor,"Toronto FC fan blog (SBNation network)","Estimate from publisher; Vox Media; ad",@WakingTheRed
Footy Prime,podcast,Canada,en,~30k weekly downloads,https://footyprime.com/,info@footyprime.com,Producer,"Canadian football pod","Estimate from public charts; independent; ad + Patreon",@FootyPrime
Voyageurs Forum,blog,Canada,en,~10k weekly visits,https://forum.thevoyageurs.org/,(via forum),Admin,"Canadian national team supporters forum","Estimate from publisher; community; free",@VoyageursForum
Devan Sumi Canada Soccer,social-twitter,Canada,en,~50k X followers,https://x.com/dsumi,(via personal site),Reporter,"Canadian football journalist",,@dsumi
Joshua Kloke,social-twitter,Canada,en,~25k X followers,https://x.com/joshuakloke,j.kloke@theathletic.com,Senior Writer,"Athletic Canada soccer + TFC writer","Follower count from X; The Athletic; subscription",@joshuakloke
Carmelina Moscato Pod,podcast,Canada,en,~20k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"Canadian women's football coverage",,@cmoscato6
NZ Football,social-twitter,NZ,en,~50k followers (Twitter + IG combined),https://www.nzfootball.co.nz/,info@nzfootball.co.nz,Brand Partnerships,"National federation comms channel; partner-priority for All Whites + Football Ferns","Federation public; NZ Football; ad + sponsorship",@NZ_Football
Stuff Sport,traditional-newspaper,NZ,en,~20M monthly visits,https://www.stuff.co.nz/sport,sportdesk@stuff.co.nz,Sport Editor,"NZ's largest news site sport section","SimilarWeb NZ; Stuff Group; ad + subscription",@NZStuffSport
NZ Herald Sport,traditional-newspaper,NZ,en,~15M monthly visits,https://www.nzherald.co.nz/sport/,sport@nzherald.co.nz,Sport Editor,"Auckland-based national daily","SimilarWeb NZ; NZME; subscription + ad",@nzherald
RNZ Sport,traditional-broadcast,NZ,en,~3M weekly reach,https://www.rnz.co.nz/news/sport,(via RNZ press),Producer,"NZ public broadcaster sport","RNZ public; RNZ; public-service",@radionz
Sky Sport NZ,traditional-broadcast,NZ,en,~700k Sky NZ subs,https://www.skysport.co.nz/,(via Sky NZ press),Programming,"NZ pay-TV sport leader; football rights","Sky NZ public; Sky NZ; subscription",@skysportnz
TAB NZ,social-twitter,NZ,en,~80k X followers,https://www.tab.co.nz/,info@tab.co.nz,Brand Partnerships,"NZ legal betting operator; potential premium prediction-pool partner subject to NZ Lotteries policy","Follower count from X; TAB NZ; sponsorship",@TABNZ
NZ Football Newsletter,newsletter,NZ,en,~5k subscribers,https://www.nzfootball.co.nz/newsletter,info@nzfootball.co.nz,Producer,"NZ Football's monthly newsletter","Estimate from publisher; NZ Football; free",@NZ_Football
The Spinoff Sport,traditional-newspaper,NZ,en,~3M monthly visits,https://thespinoff.co.nz/sports,hello@thespinoff.co.nz,Sport Editor,"Independent NZ digital with strong sport coverage","SimilarWeb NZ; The Spinoff Ltd; member-supported + ad",@thespinofftv
Newsroom NZ Sport,traditional-newspaper,NZ,en,~1.5M monthly visits,https://www.newsroom.co.nz/sport,editor@newsroom.co.nz,Sport Editor,"Independent NZ digital reporting on football including All Whites Football Ferns","SimilarWeb NZ; Newsroom Pro; subscription + ad",@NewsroomNZ
1News Sport,traditional-broadcast,NZ,en,~2M weekly reach,https://www.1news.co.nz/sport,(via TVNZ press),Producer,"TVNZ flagship news sport segment","TVNZ public; TVNZ; ad + public-service",@1NewsNZ
Locker Room (Newsroom),newsletter,NZ,en,~5k subscribers,https://www.newsroom.co.nz/lockerroom,(via Newsroom),Editor,"Womens-sport-focused NZ newsletter; All Whites + Football Ferns coverage","Estimate from publisher; subscription + ad",@LockerRoomNZ
The Athletic NZ (Sail GP/Olympics writers),social-twitter,NZ,en,~10k X followers (NZ angle),https://x.com/_jamillustrated,(via The Athletic),Freelance,"NZ-resident Athletic contributors","Follower count from X; freelance",@_jamillustrated
Jason Pine Newstalk ZB,traditional-broadcast,NZ,en,~300k weekly listens,https://www.newstalkzb.co.nz/sport/,jason.pine@newstalkzb.co.nz,Host,"Newstalk ZB's lead sport host; nationwide commercial radio","RAJAR-equivalent; NZME; ad",@jasonpinezb
ESPN FC US YouTube,youtube,USA,en,~3.7M YT subs,https://www.youtube.com/@ESPNFC,(via ESPN press),Brand Partnerships,"US-edition of ESPN football channel; duplicate flagged - see also UK listing","Verified YT subs; Disney; ad + subscription",@ESPNFC
Yahoo Sports Football,youtube,USA,en,~250k YT subs,https://www.youtube.com/@YahooSports,sportspr@yahooinc.com,Programming,"Yahoo Sports US digital","Verified YT subs; Yahoo; ad",@YahooSports
The Overlap US Audience,podcast,USA,en,~500k US weekly downloads,https://www.youtube.com/@TheOverlap,(via Sky press),Brand Partnerships,"Carragher Neville show with significant US audience","Estimate from publisher; Sky/Buzz16; ad + brand",@TheOverlap
Globo Esporte Newsletter,newsletter,Brazil,pt-BR,~500k subscribers,https://ge.globo.com/newsletter/,(via Globo press),Producer,"Daily football newsletter from Globo","Estimate from Globo; Globo; free + ad",@globoesportecom
Yahoo Esporte Brasil,traditional-newspaper,Brazil,pt-BR,~15M monthly visits,https://esportes.yahoo.com/,(via Yahoo press),Editor,"Yahoo BR sports portal","SimilarWeb BR; Yahoo; ad",@YahooEsporte
TNT Sports Brasil,traditional-broadcast,Brazil,pt-BR,~30M monthly digital reach,https://www.tntsports.com.br/,(via TNT press),Programming,"WarnerBros TNT Sports BR; Libertadores rights","Comscore BR; WBD; subscription + ad",@TNTSportsBR
Goal Brasil,traditional-newspaper,Brazil,pt-BR,~25M monthly visits,https://www.goal.com/br,(via Footballco),Editor,"Goal.com Brazilian edition","SimilarWeb BR; Footballco; ad",@goalbrasil
Trivela,traditional-newspaper,Brazil,pt-BR,~5M monthly visits,https://trivela.com.br/,redacao@trivela.com.br,Editor,"Brazilian football culture site; international coverage","SimilarWeb BR; independent; ad + subscription",@trivela
Calciomercato,traditional-newspaper,Italy,it,~30M monthly visits,https://www.calciomercato.com/,info@calciomercato.com,Editor,"Italian transfer market news leader","SimilarWeb IT; CM Editori; ad",@cmdotcom
Eurosport Italia,traditional-broadcast,Italy,it,~10M monthly digital reach,https://www.eurosport.it/calcio/,(via Eurosport press),Programming,"Discovery-owned Eurosport IT football","Comscore IT; WBD; ad + subscription",@Eurosport_IT
La Stampa Sport,traditional-newspaper,Italy,it,~10M monthly visits,https://www.lastampa.it/sport,sport@lastampa.it,Sport Editor,"La Stampa's sport section","SimilarWeb IT; GEDI; subscription + ad",@LaStampa
Le Parisien Sport,traditional-newspaper,France,fr,~30M monthly visits,https://www.leparisien.fr/sports/,sport@leparisien.fr,Sport Editor,"Le Parisien sport section; PSG-leaning","SimilarWeb FR; LVMH; subscription + ad",@le_Parisien
Eurosport France,traditional-broadcast,France,fr,~10M monthly digital reach,https://www.eurosport.fr/football/,(via Eurosport press),Programming,"Eurosport FR football vertical","Comscore FR; WBD; ad + subscription",@Eurosport_FR
20 Minutes Sport,traditional-newspaper,France,fr,~25M monthly visits,https://www.20minutes.fr/sport/,sport@20minutes.fr,Sport Editor,"20 Minutes free daily sport section","SimilarWeb FR; Rossel/SIPA; ad",@20Minutes
WDR Sport,traditional-broadcast,Germany,de,~8M weekly reach,https://www1.wdr.de/sport/,(via WDR press),Producer,"ARD-regional broadcaster sport","WDR public; ARD; public-service",@wdr
Welt Sport,traditional-newspaper,Germany,de,~15M monthly visits,https://www.welt.de/sport/,sport@welt.de,Sport Editor,"Welt's sport section","SimilarWeb DE; Axel Springer; subscription + ad",@welt
SZ Sport,traditional-newspaper,Germany,de,~20M monthly visits,https://www.sueddeutsche.de/sport,sport@sueddeutsche.de,Sport Editor,"Sueddeutsche Zeitung's sport section","SimilarWeb DE; SZ Verlag; subscription + ad",@SZ_Sport
Wereld van Oranje,podcast,Netherlands,nl,~50k weekly downloads,https://www.spotify.com/,(via Spotify),Producer,"Dutch national team focused pod",,@WereldOranje
NU.nl Sport,traditional-newspaper,Netherlands,nl,~30M monthly visits,https://www.nu.nl/sport,sport@nu.nl,Sport Editor,"NU.nl sport section; largest Dutch online news outlet","SimilarWeb NL; DPG Media; ad",@NUnl
RTL Boulevard / Late Night Football,traditional-broadcast,Netherlands,nl,~1M weekly viewers,https://www.rtl.nl/sport,(via RTL NL press),Programming,"RTL NL sport","RTL public; RTL Group; ad",@RTL_Sport
Wereldvoetbal,newsletter,Netherlands,nl,~20k subscribers,https://wereldvoetbal.substack.com/,(via Substack profile),Author,"Dutch football world coverage newsletter","Estimate from Substack; subscription",@wereldvoetbal
Marca Newsletter Diario,newsletter,Spain,es,~300k subscribers,https://www.marca.com/newsletters/,internet@marca.com,Producer,"Marca's daily morning newsletter","Estimate from Unidad Editorial; subscription + ad",@marca
Diario AS Newsletter,newsletter,Spain,es,~200k subscribers,https://as.com/boletines/,redaccion@as.com,Producer,"AS's daily newsletter","Estimate from PRISA; subscription + ad",@diarioas
Andoni Iraola Tactico Substack,substack,Spain,es,~10k subscribers,https://tacticoespanol.substack.com/,(via Substack profile),Author,"Spanish tactical-football newsletter","Estimate from Substack; subscription",@tacticoespanol
La Liga Lowdown,podcast,Spain,en,~80k weekly downloads,https://www.laligalowdown.com/,info@laligalowdown.com,Producer,"English-language LaLiga pod","Estimate from public charts; independent; ad + Patreon",@LaLigaLowdown
RAC1 Tu Diras,podcast,Spain,es,~300k weekly listens,https://www.rac1.cat/,info@rac1.cat,Producer,"Catalan football flagship show; Barca-leaning","Estimate from EGM; Grupo Godo; ad",@RAC1
Cope Tiempo de Juego Newsletter,newsletter,Spain,es,~80k subscribers,https://www.cope.es/,prensa@cope.es,Producer,"Tiempo de Juego daily newsletter","Estimate from COPE; subscription + ad",@tjcope
Ricardo Setyon,social-twitter,Brazil,pt-BR,~300k X followers,https://x.com/ricardosetyon,(via personal),Agent/Reporter,"Brazilian transfer-news beat","Follower count from X; freelance",@ricardosetyon
Ortiz Cruz,social-twitter,Argentina,es,~150k X followers,https://x.com/diegoocruz,(via personal),Reporter,"Argentine football reporter",,@diegoocruz
Goal Mexico,traditional-newspaper,Mexico,es,~10M monthly visits,https://www.goal.com/mx,(via Footballco),Editor,"Goal.com Mexican edition","SimilarWeb MX; Footballco; ad",@goalmx
ESPN MX YouTube,youtube,Mexico,es,~2M YT subs,https://www.youtube.com/@ESPNmx,(via ESPN MX press),Brand Partnerships,"ESPN MX football YouTube","Verified YT subs; Disney; ad + subscription",@ESPNmx
Mediotiempo Newsletter,newsletter,Mexico,es,~100k subscribers,https://www.mediotiempo.com/newsletter,redaccion@mediotiempo.com,Producer,"Mediotiempo's daily football newsletter","Estimate from Televisa; subscription + ad",@mediotiempo
Diretta Calciomercato Sky Newsletter,newsletter,Italy,it,~100k subscribers,https://sport.sky.it/newsletter,(via Sky IT press),Producer,"Sky IT daily transfer newsletter","Estimate from Sky; subscription + ad",@SkySport
Calcio Today Substack,substack,Italy,it,~10k subscribers,https://calciotoday.substack.com/,(via Substack profile),Author,"Independent Italian football newsletter","Estimate from Substack; subscription",@calciotodaynews
James Horncastle,social-twitter,Italy,en,~250k X followers,https://x.com/JamesHorncastle,j.horncastle@theathletic.com,Senior Writer,"Athletic's lead Italian football writer","Follower count from X; The Athletic; subscription",@JamesHorncastle
Tom Worville Athletic Tactics,social-twitter,UK,en,~150k X followers,https://x.com/Worville,t.worville@theathletic.com,Senior Writer,"Athletic data-led football journalist; perfect for stats-driven prediction angle","Follower count from X; The Athletic; subscription",@Worville
John Muller Athletic,social-twitter,USA,en,~70k X followers,https://x.com/johnspacemuller,j.muller@theathletic.com,Senior Writer,"Athletic football tactics writer; analytics community","Follower count from X; The Athletic; subscription",@johnspacemuller
